country_region,peak_cases,peak_deaths,cluster
Dominica,21577.217962760133,101.31434830230012,0
Cuba,9939.238635148546,76.19848015744232,0
Japan,27025.07775021586,59.20539221400713,0
Jordan,15409.623242444331,124.56501037483112,0
Denmark,58384.14471672989,141.17954366778872,1
Egypt,457.5714749659141,22.01272966027594,2
Gambia,454.28188988189675,13.414261234804382,2
Greece,53653.789565834086,336.31243027335984,1
Guyana,8979.103846730415,159.49198485194768,0
Mexico,5825.706253742977,259.3799613215673,0
Timor-Leste,1721.2309899485224,10.142613972112223,2
Andorra,59796.723604035564,206.0233742882829,1
Armenia,16101.973743416956,314.15026080195247,3
Cambodia,818.6510737850008,18.035003723260424,2
India,3128.228520099712,37.15306750293551,2
Nepal,3240.338173241772,38.90396966137687,2
Barbados,37872.30270040249,205.32278941115976,1
Malta,21980.548121346234,154.74784324865809,0
Iceland,55722.61389008787,70.07391065709612,1
Indonesia,2427.8906505053096,57.98962622693292,2
Ukraine,15544.933717396667,324.62699179423043,3
Estonia,46526.25371853655,222.71529712382772,1
Liechtenstein,54143.088116410676,224.83831851253032,1
Sao Tome and Principe,2709.009040093851,33.21026844248154,2
Bahamas,9086.017987363768,201.87919723330984,0
Malawi,423.79158819536883,13.83544071396607,2
Benin,204.18107774705553,1.1886680121707935,2
Nicaragua,222.17302389477612,3.476997180084328,2
Puerto Rico,0.0,0.0,2
Marshall Islands,37263.07267358796,40.48004571863987,0
Tonga,15597.598656435286,12.06239039462574,2
Guam,0.0,0.0,2
Brazil,17133.71680495654,323.10696645578065,3
Cameroon,434.21903772897497,6.859286844310211,2
Equatorial Guinea,1004.7991713862309,10.672601332850443,2
Mongolia,29238.587044338277,61.96410549330942,0
Guinea,269.66419771042996,3.2909081017788377,2
Paraguay,11781.653755055,289.7024043055158,3
Slovenia,62825.999268755826,333.9191149586611,1
Central African Republic,267.6272548614975,1.9678474622168933,2
South Sudan,165.6446741377513,1.2444994028206489,2
Niger,34.95222907399789,1.1579672021780958,2
Mayotte,0.0,0.0,2
Kiribati,3755.3832902670115,13.481631277384565,2
Tuvalu,24815.724815724814,0.0,0
Bulgaria,19401.583529925083,571.6150967512531,3
Dominican Republic,5830.6858959856245,38.683586264926795,2
Germany,45920.19752341066,202.81618864927347,1
Ireland,33706.22719097635,172.19916807315101,0
New Zealand,42771.064057688265,48.77488953922075,1
Pakistan,655.9272653174186,12.742547832103984,2
San Marino,70197.96682718031,362.64193567564354,1
Spain,28978.40235618006,251.43084032560188,3
Uruguay,30215.318944070714,222.51708096852337,0
Colombia,12209.028489646036,273.2812535038766,3
Singapore,37163.706458302404,28.629747371574716,0
Thailand,6585.094396438259,47.238712836856294,2
Qatar,18226.021217122277,25.327723438930555,0
Saint Kitts and Nevis,13814.260286880955,98.41901371584127,0
Saint Vincent and the Grenadines,9247.044301722308,118.61366660880634,0
Suriname,13232.066183596584,225.27581847004984,0
Syria,247.4144976190224,13.622069543678752,2
Tajikistan,175.3430729282658,1.2323110376719457,2
Jersey,0.0,0.0,2
Cape Verde,0.16703358377235328,0.0,2
Samoa,7358.61680868128,12.849996233621795,2
United States,30530.470391843344,330.5424590424463,3
France,61563.96081671016,256.616377417314,1
Poland,15709.426887056954,290.08386302298976,3
Romania,16820.37712918616,340.50490197162674,3
Sudan,132.6757821602051,10.428400869475457,2
Oman,8600.688487429119,99.64722985868525,0
Saudi Arabia,2246.80336238168,26.031865894480003,2
Chile,26451.321703611742,327.4291516022495,3
Liberia,149.30670198843677,5.444434744942996,2
Latvia,53341.11749956699,342.5288122517021,1
United Arab Emirates,11066.799161194893,24.68248229906657,2
Sri Lanka,3069.5712199453546,76.87185361516269,2
Cyprus,51636.01129400114,105.543995975044,1
Burundi,405.1120669553235,0.2870403040089182,2
Panama,23091.11259471895,192.67753738904366,0
Vanuatu,3591.5648747705573,4.18527619833426,2
Algeria,595.3013694545161,15.087768229427045,2
Burkina Faso,94.85845742755785,1.7031170267189386,2
Costa Rica,23209.609504519514,177.37323761126117,0
Netherlands,49453.326907438684,134.5589605443749,1
Norway,27026.099854594875,95.2257432832331,0
Rwanda,944.9946479817957,10.415275036692915,2
Switzerland,50177.07270786249,161.92492862923453,1
Chad,42.01094965426176,1.0613522897417347,2
Lithuania,48097.08234989435,353.00799896407824,1
Togo,435.1322577406456,3.203075305736299,2
Morocco,3362.813214487806,43.0654890359007,2
Portugal,54358.779441635386,256.31354838520804,1
Antigua and Barbuda,9656.620500965026,154.8283102504825,0
Bosnia and Herzegovina,12511.620765486488,507.03132226481046,3
Mauritania,1309.235945218054,20.50179426685933,2
Slovakia,46030.360648529924,362.9728677134297,1
Angola,287.01183141451463,5.269298211802454,2
Trinidad and Tobago,12373.01596091566,283.72499978826494,3
Djibouti,1380.6089990364776,16.630662894703267,2
Guatemala,6844.158857609424,111.5519069008634,0
Greenland,0.0,0.0,2
Micronesia,20783.864472679303,52.9403596472957,0
Canada,11905.470088656924,133.36327560627106,0
Fiji,7357.949539447337,94.29982645841676,0
Finland,26393.482974857878,161.69940356777374,0
Gabon,2010.2472085714076,12.558658374121613,2
Honduras,4457.796910985087,104.8821206521023,2
Hungary,21630.093580901354,480.1186738516098,3
Lebanon,23026.599152398332,202.48677139970079,0
United Kingdom,36403.70414889088,325.8509310787952,3
Belarus,10465.48844111929,74.94021522728741,0
Ghana,501.81429949048976,4.28462763816349,2
Kenya,622.3835804577468,10.322939215201814,2
Montenegro,46099.747001125324,448.21504106243566,3
Saint Lucia,16645.677416491446,226.90581466954413,0
Philippines,3474.981644381183,56.40828759683786,2
Afghanistan,495.8610889138016,18.693246430255183,2
Bangladesh,1178.2712405117793,17.02472662738188,2
Kuwait,15402.398269370513,59.62727616106139,0
North Macedonia,16630.17175701534,463.25441259177467,3
Georgia,49018.20731371715,455.1962539314354,3
South Africa,6731.939081837892,169.81851789044995,0
Uzbekistan,714.5017635109417,4.655336727871026,2
Zimbabwe,1585.7756626315022,34.02856779572586,2
Kyrgyzstan,3069.002977871816,44.40751159517097,2
Lesotho,1492.9292911954506,31.02580849480629,2
Sierra Leone,88.2711726825291,1.4332690409792095,2
Belize,17223.148542566785,167.46789995740278,0
Mozambique,688.0006032329248,6.614085571398876,2
Myanmar,1161.5486731768483,35.71036144840566,2
Uganda,351.04118299462516,7.471851805226154,2
Comoros,1057.1839333392013,18.895050318340523,2
Guinea-Bissau,416.5810412852269,8.182841882388386,2
Republic of the Congo,0.0,0.0,2
Guadeloupe,0.0,0.0,2
Nauru,41056.33802816901,7.824726134585289,0
Albania,11808.091895359441,127.02833141331551,0
Argentina,21944.733813717885,285.0358951405566,3
Australia,43115.897505025794,74.03425932135161,1
Azerbaijan,7959.788530317593,97.3623335690402,0
Bahrain,47841.71620636428,104.54329122206597,1
Belgium,40555.435755518934,289.3513170302598,1
